frame,particle_resid,type,region
4204,1739,CLA,VSD2
4422,1754,CLA,VSD2
4382,1773,CLA,VSD2
4493,1827,CLA,VSD2
4649,1803,CLA,VSD2
4809,1788,CLA,VSD2
4998,1740,CLA,VSD2
5000,1583,SOD,VSD2
5025,1798,CLA,VSD2
5177,1565,SOD,VSD2
5101,1795,CLA,VSD2
5109,1766,CLA,VSD2
5152,1706,CLA,VSD2
5180,1750,CLA,VSD2
5302,1695,SOD,VSD2
5207,1712,CLA,VSD2
5207,1721,CLA,VSD2
5214,1774,CLA,VSD2
5244,1791,CLA,VSD2
5236,1718,CLA,VSD2
5261,1840,CLA,VSD2
5300,1725,CLA,VSD2
5336,1640,SOD,VSD2
5311,1805,CLA,VSD2
5332,1759,CLA,VSD2
5329,1603,SOD,VSD2
5403,1596,SOD,VSD2
5331,1814,CLA,VSD2
5356,1707,CLA,VSD2
5344,1724,CLA,VSD2
5358,1714,CLA,VSD2
5386,1680,SOD,VSD2
6212,1591,SOD,VSD4
5397,1581,SOD,VSD2
5480,1705,SOD,VSD2
5438,1744,CLA,VSD2
5453,1846,CLA,VSD2
5466,1727,CLA,VSD2
5475,1770,CLA,VSD2
5481,1837,CLA,VSD2
5506,1702,SOD,VSD2
5493,1852,CLA,VSD2
5513,1631,SOD,VSD2
5505,1839,CLA,VSD2
5523,1769,CLA,VSD2
5548,1856,CLA,VSD2
5564,1717,CLA,VSD2
5569,1848,CLA,VSD2
5579,1652,SOD,VSD2
5584,1755,CLA,VSD2
5601,1633,SOD,VSD2
5600,1782,CLA,VSD2
5630,1634,SOD,VSD2
5626,1849,CLA,VSD2
5641,1584,SOD,VSD2
5675,1621,SOD,VSD2
5663,1756,CLA,VSD2
5653,1818,CLA,VSD2
5674,1824,CLA,VSD2
5696,1797,CLA,VSD2
5702,1813,CLA,VSD2
5723,1609,SOD,VSD2
5735,1684,SOD,VSD2
5735,1833,CLA,VSD2
5744,1671,SOD,VSD2
5753,1715,CLA,VSD2
5753,1745,CLA,VSD2
5756,1629,SOD,VSD2
5755,1799,CLA,VSD2
5787,1787,CLA,VSD2
5769,1657,SOD,VSD2
5791,1598,SOD,VSD2
5778,1601,SOD,VSD2
5782,1713,CLA,VSD2
5775,1854,CLA,VSD2
5791,1778,CLA,VSD2
5824,1700,SOD,VSD2
5788,1779,CLA,VSD2
5804,1681,SOD,VSD2
5796,1830,CLA,VSD2
5822,1737,CLA,VSD2
5840,1593,SOD,VSD2
5867,1816,CLA,VSD2
5874,1815,CLA,VSD2
5878,1817,CLA,VSD2
5889,1802,CLA,VSD2
5895,1760,CLA,VSD2
5914,1698,SOD,VSD2
5916,1825,CLA,VSD2
5930,1600,SOD,VSD2
5926,1623,SOD,VSD2
5956,1667,SOD,VSD2
5956,1709,CLA,VSD2
5942,1736,CLA,VSD2
5953,1733,CLA,VSD2
5970,1820,CLA,VSD2
5971,1786,CLA,VSD2
5995,1679,SOD,VSD2
6011,1641,SOD,VSD2
6004,1588,SOD,VSD2
6006,1571,SOD,VSD2
6041,1693,SOD,VSD2
6027,1677,SOD,VSD2
6017,1711,CLA,VSD2
6029,1800,CLA,VSD2
6046,1807,CLA,VSD2
6049,1758,CLA,VSD2
6075,1735,CLA,VSD2
6099,1686,SOD,VSD2
6086,1789,CLA,VSD2
6132,1685,SOD,VSD2
6103,1804,CLA,VSD2
6140,1580,SOD,VSD2
6121,1608,SOD,VSD2
6114,1649,SOD,VSD2
6136,1568,SOD,VSD2
6130,1842,CLA,VSD2
6130,1710,CLA,VSD2
6138,1761,CLA,VSD2
6144,1763,CLA,VSD2
6181,1643,SOD,VSD2
6158,1809,CLA,VSD2
6171,1638,SOD,VSD2
6179,1586,SOD,VSD2
6187,1683,SOD,VSD2
6205,1574,SOD,VSD2
6220,1666,SOD,VSD2
6246,1632,SOD,VSD2
6240,1785,CLA,VSD2
6247,1796,CLA,VSD2
6290,1579,SOD,VSD2
6302,1669,SOD,VSD2
6308,1605,SOD,VSD2
