frame,particle_resid,type,region
8369,1635,SOD,VSD2
9333,1640,SOD,VSD2
9361,1621,SOD,VSD2
9709,1568,SOD,VSD2
9537,1726,CLA,VSD2
9649,1607,SOD,VSD2
9659,1702,SOD,VSD2
9635,1770,CLA,VSD2
9725,1646,SOD,VSD2
9683,1721,CLA,VSD2
9741,1613,SOD,VSD2
9745,1567,SOD,VSD2
9772,1711,CLA,VSD2
9794,1796,CLA,VSD2
9808,1788,CLA,VSD2
9831,1643,SOD,VSD2
9816,1610,SOD,VSD2
9849,1730,CLA,VSD2
9862,1738,CLA,VSD2
9870,1674,SOD,VSD2
9874,1626,SOD,VSD2
9876,1719,CLA,VSD2
9914,1700,SOD,VSD2
9921,1835,CLA,VSD2
9922,1601,SOD,VSD2
9951,1729,CLA,VSD2
9941,1745,CLA,VSD2
9971,1744,CLA,VSD2
10008,1697,SOD,VSD2
9975,1785,CLA,VSD2
10000,1576,SOD,VSD2
9989,1834,CLA,VSD2
10013,1800,CLA,VSD2
10046,1720,CLA,VSD2
10111,1771,CLA,VSD2
10108,1810,CLA,VSD2
10166,1658,SOD,VSD2
10141,1759,CLA,VSD2
10144,1832,CLA,VSD2
10186,1660,SOD,VSD2
10203,1723,CLA,VSD2
10239,1717,CLA,VSD2
10276,1649,SOD,VSD2
