frame,particle_resid,type,region
8227,1727,CLA,VSD1
8811,1623,SOD,VSD1
11545,1856,CLA,VSD1
11574,1610,SOD,VSD1
11916,1830,CLA,VSD1
13374,1774,CLA,VSD1
13805,1729,CLA,VSD1
13665,1678,SOD,VSD1
14302,1667,SOD,VSD1
14130,1714,CLA,VSD1
14970,1732,CLA,VSD1
21908,1710,CLA,VSD1
21855,1792,CLA,VSD1
21894,1564,SOD,VSD1
22203,1573,SOD,VSD1
22310,1688,SOD,VSD1
22402,1761,CLA,VSD1
22408,1778,CLA,VSD1
22475,1820,CLA,VSD1
22490,1849,CLA,VSD1
22546,1721,CLA,VSD1
22719,1590,SOD,VSD1
22668,1653,SOD,VSD1
22679,1720,CLA,VSD1
22679,1829,CLA,VSD1
22690,1743,CLA,VSD1
22725,1827,CLA,VSD1
22753,1670,SOD,VSD1
22749,1658,SOD,VSD1
22696,1723,CLA,VSD1
22740,1621,SOD,VSD1
22707,1713,CLA,VSD1
22726,1605,SOD,VSD1
22769,1592,SOD,VSD1
22741,1736,CLA,VSD1
22723,1737,CLA,VSD1
22747,1797,CLA,VSD1
22746,1756,CLA,VSD1
22783,1616,SOD,VSD1
22750,1853,CLA,VSD1
22754,1706,CLA,VSD1
22759,1828,CLA,VSD1
22771,1795,CLA,VSD1
22819,1641,SOD,VSD1
22813,1608,SOD,VSD1
22835,1666,SOD,VSD1
22795,1759,CLA,VSD1
22816,1748,CLA,VSD1
22812,1733,CLA,VSD1
22857,1624,SOD,VSD1
22828,1818,CLA,VSD1
22825,1796,CLA,VSD1
22852,1755,CLA,VSD1
22853,1709,CLA,VSD1
22970,1679,SOD,VSD1
22874,1826,CLA,VSD1
22863,1775,CLA,VSD1
22858,1740,CLA,VSD1
22887,1643,SOD,VSD1
22862,1766,CLA,VSD1
22873,1694,SOD,VSD1
23019,1640,SOD,VSD1
22891,1784,CLA,VSD1
22888,1799,CLA,VSD1
22907,1567,SOD,VSD1
23005,1636,SOD,VSD1
22894,1844,CLA,VSD1
22915,1695,SOD,VSD1
22906,1741,CLA,VSD1
22914,1738,CLA,VSD1
22922,1821,CLA,VSD1
22934,1841,CLA,VSD1
22935,1809,CLA,VSD1
22938,1765,CLA,VSD1
22948,1715,CLA,VSD1
22986,1718,CLA,VSD1
22990,1617,SOD,VSD1
22995,1848,CLA,VSD1
22961,1708,CLA,VSD1
22974,1804,CLA,VSD1
22986,1574,SOD,VSD1
22986,1816,CLA,VSD1
23015,1576,SOD,VSD1
22983,1758,CLA,VSD1
22995,1730,CLA,VSD1
22999,1776,CLA,VSD1
23006,1689,SOD,VSD1
22999,1722,CLA,VSD1
22996,1839,CLA,VSD1
22998,1825,CLA,VSD1
23018,1750,CLA,VSD1
23011,1791,CLA,VSD1
23046,1630,SOD,VSD1
23031,1779,CLA,VSD1
23035,1801,CLA,VSD1
23045,1847,CLA,VSD1
23044,1744,CLA,VSD1
23049,1728,CLA,VSD1
23056,1835,CLA,VSD1
23058,1783,CLA,VSD1
23067,1681,SOD,VSD1
23077,1700,SOD,VSD1
23068,1794,CLA,VSD1
23073,1840,CLA,VSD1
23078,1858,CLA,VSD1
23092,1581,SOD,VSD1
23078,1769,CLA,VSD1
23101,1813,CLA,VSD1
23119,1857,CLA,VSD1
23117,1676,SOD,VSD1
23119,1808,CLA,VSD1
23122,1855,CLA,VSD1
23129,1850,CLA,VSD1
23148,1772,CLA,VSD1
23158,1802,CLA,VSD1
23169,1571,SOD,VSD1
23175,1760,CLA,VSD1
23228,1646,SOD,VSD1
23205,1851,CLA,VSD1
23251,1823,CLA,VSD1
23197,1763,CLA,VSD1
23200,1595,SOD,VSD1
23209,1661,SOD,VSD1
23250,1705,SOD,VSD1
23218,1622,SOD,VSD1
23228,1703,SOD,VSD1
23228,1682,SOD,VSD1
23227,1644,SOD,VSD1
23229,1781,CLA,VSD1
23241,1612,SOD,VSD1
23246,1579,SOD,VSD1
23226,1719,CLA,VSD1
23263,1632,SOD,VSD1
23257,1712,CLA,VSD1
23270,1805,CLA,VSD1
23318,1615,SOD,VSD1
23296,1757,CLA,VSD1
23299,1789,CLA,VSD1
23306,1642,SOD,VSD1
23333,1618,SOD,VSD1
23366,1852,CLA,VSD1
23365,1780,CLA,VSD1
23368,1807,CLA,VSD1
23383,1596,SOD,VSD1
23383,1788,CLA,VSD1
23379,1777,CLA,VSD1
23384,1785,CLA,VSD1
23391,1601,SOD,VSD1
23396,1619,SOD,VSD1
23401,1787,CLA,VSD1
23406,1786,CLA,VSD1
23412,1655,SOD,VSD1
23429,1767,CLA,VSD1
23437,1588,SOD,VSD1
23427,1739,CLA,VSD1
23455,1770,CLA,VSD1
23451,1625,SOD,VSD1
23458,1699,SOD,VSD1
23466,1842,CLA,VSD1
